UF,Ano,PIB_per_capita,Populacao_Estimada
Acre,2002,2971301,586942
Acre,2003,3377234,600595
Acre,2004,3784003,630328
Acre,2005,4300581,669736
Acre,2006,4661807,686652
Acre,2008,6410255,680075
Acre,2009,7407821,691132
Acre,2011,8949434,746386
Acre,2012,10137925,758786
Acre,2013,11473930,776463
Acre,2014,13458698,790101
Acre,2015,13622802,803513
Acre,2016,13754240,816687
Acre,2017,14272941,829619
Acre,2018,15331123,869265
Acre,2019,15630017,881935
Acre,2020,16476371,894470
Acre,2021,21374440,906876
Alagoas,2002,11536853,2887535
Alagoas,2003,12624030,2917664
Alagoas,2004,14044907,2980910
Alagoas,2005,15484521,3015912
Alagoas,2006,17395671,3050652
Alagoas,2008,22262295,3127560
Alagoas,2009,24182388,3156108
Alagoas,2011,31657321,3143384
Alagoas,2012,34650397,3165472
Alagoas,2013,37282529,3300935
Alagoas,2014,40974994,3321730
Alagoas,2015,46367211,3340932
Alagoas,2016,49468741,3358963
Alagoas,2017,52851067,3375823
Alagoas,2018,54413047,3322820
Alagoas,2019,58963729,3337357
Alagoas,2020,63202349,3351543
Alagoas,2021,76265620,3365351
Amapá,2002,3173343,516511
Amapá,2003,3413195,534835
Amapá,2004,3824740,547400
Amapá,2005,4306410,594587
Amapá,2006,5280822,615715
Amapá,2008,6950413,613166
Amapá,2009,7490656,626609
Amapá,2011,9409228,684309
Amapá,2012,11130868,698602
Amapá,2013,12763486,734996
Amapá,2014,13400284,750912
Amapá,2015,13861293,766679
Amapá,2016,14342135,782295
Amapá,2017,15481908,797722
Amapá,2018,16795207,829494
Amapá,2019,17496661,845731
Amapá,2020,18469115,861773
Amapá,2021,20099851,877613
Amazonas,2002,22093338,2961801
Amazonas,2003,25862134,3031068
Amazonas,2004,31090696,3138726
Amazonas,2005,33980877,3232330
Amazonas,2006,39933213,3311026
Amazonas,2008,48115265,3341094
Amazonas,2009,50559840,3393369
Amazonas,2011,70734401,3538387
Amazonas,2012,72242701,3590985
Amazonas,2013,83051233,3807921
Amazonas,2014,86668644,3873743
Amazonas,2015,86568184,3938336
Amazonas,2016,89039782,4001667
Amazonas,2017,93240191,4063614
Amazonas,2018,100109235,4080611
Amazonas,2019,108181091,4144597
Amazonas,2020,116019139,4207714
Amazonas,2021,131531038,4269995
Bahia,2002,58842976,13323212
Bahia,2003,67174227,13435612
Bahia,2004,77931725,13682074
Bahia,2005,88291883,13815334
Bahia,2006,95347802,13950146
Bahia,2008,121667455,14502563
Bahia,2009,137942481,14637364
Bahia,2011,166602817,14097534
Bahia,2012,182572530,14175341
Bahia,2013,204844274,15044137
Bahia,2014,223929966,15126371
Bahia,2015,245043690,15203334
Bahia,2016,258738970,15276566
Bahia,2017,268724090,15344447
Bahia,2018,286239541,14812617
Bahia,2019,293240504,14873064
Bahia,2020,305320813,14930634
Bahia,2021,352617852,14985284
Ceará,2002,28718840,7654535
Ceará,2003,32687418,7758441
Ceará,2004,36890816,7976563
Ceará,2005,41059459,8097276
Ceará,2006,46500321,8217085
Ceará,2008,60415574,8450528
Ceará,2009,67199958,8547809
Ceará,2011,89695828,8530155
Ceará,2012,96973753,8606005
Ceará,2013,109036556,8778576
Ceará,2014,126054472,8842791
Ceará,2015,130629849,8904459
Ceará,2016,138422521,8963663
Ceará,2017,147921534,9020460
Ceará,2018,155903825,9075649
Ceará,2019,163575327,9132078
Ceará,2020,166914536,9187103
Ceará,2021,194884802,9240580
Distrito Federal,2002,53902200,2145839
Distrito Federal,2003,58456124,2189789
Distrito Federal,2004,67076505,2282049
Distrito Federal,2005,75732681,2333108
Distrito Federal,2006,84661406,2383784
Distrito Federal,2008,110299557,2557159
Distrito Federal,2009,124323753,2606885
Distrito Federal,2011,154568954,2609998
Distrito Federal,2012,164101336,2648532
Distrito Federal,2013,175906726,2789761
Distrito Federal,2014,197432059,2852372
Distrito Federal,2015,215612863,2914830
Distrito Federal,2016,235540045,2977216
Distrito Federal,2017,244722249,3039444
Distrito Federal,2018,254817205,2974703
Distrito Federal,2019,273613711,3015268
Distrito Federal,2020,265847334,3055149
Distrito Federal,2021,286943782,3094325
Espírito Santo,2002,27048997,3201722
Espírito Santo,2003,31519106,3250219
Espírito Santo,2004,39732638,3352024
Espírito Santo,2005,47020588,3408365
Espírito Santo,2006,53463868,3464285
Espírito Santo,2008,72091158,3453646
Espírito Santo,2009,69215361,3487199
Espírito Santo,2011,105976222,3547055
Espírito Santo,2012,116850581,3578067
Espírito Santo,2013,117274347,3839366
Espírito Santo,2014,128783781,3885049
Espírito Santo,2015,120365980,3929911
Espírito Santo,2016,109264423,3973697
Espírito Santo,2017,113399937,4016356
Espírito Santo,2018,137020055,3972388
Espírito Santo,2019,137345595,4018650
Espírito Santo,2020,138445922,4064052
Espírito Santo,2021,186336505,4108508
Goiás,2002,38629365,5210335
Goiás,2003,45557889,5306459
Goiás,2004,51103815,5508245
Goiás,2005,53865113,5619917
Goiás,2006,61375403,5730753
Goiás,2008,82417564,5844995
Goiás,2009,92865743,5926300
Goiás,2011,121296721,6080716
Goiás,2012,138757825,6154996
Goiás,2013,151300175,6434048
Goiás,2014,165015318,6523222
Goiás,2015,173632450,6610681
Goiás,2016,181759604,6695855
Goiás,2017,191948301,6778772
Goiás,2018,195681724,6921161
Goiás,2019,208672492,7018354
Goiás,2020,224126112,7113540
Goiás,2021,269627874,7206589
Maranhão,2002,15924003,5803224
Maranhão,2003,19502900,5873655
Maranhão,2004,22127132,6021504
Maranhão,2005,25104209,6103327
Maranhão,2006,29710643,6184538
Maranhão,2008,37932402,6305537
Maranhão,2009,40994571,6367138
Maranhão,2011,52143535,6645761
Maranhão,2012,60490109,6714314
Maranhão,2013,67694845,6794301
Maranhão,2014,76842028,6850884
Maranhão,2015,78475994,6904241
Maranhão,2016,85310038,6954036
Maranhão,2017,89542757,7000229
Maranhão,2018,98179496,7035055
Maranhão,2019,97339938,7075181
Maranhão,2020,106915962,7114598
Maranhão,2021,124980720,7153262
Mato Grosso,2002,19190653,2604742
Mato Grosso,2003,26697097,2651335
Mato Grosso,2004,33388670,2742646
Mato Grosso,2005,34257055,2803274
Mato Grosso,2006,30700165,2856999
Mato Grosso,2008,49202505,2957735
Mato Grosso,2009,52693417,3001692
Mato Grosso,2011,69153957,3075936
Mato Grosso,2012,79665691,3115336
Mato Grosso,2013,89212919,3182113
Mato Grosso,2014,101234520,3224357
Mato Grosso,2015,107418319,3265486
Mato Grosso,2016,123880296,3305531
Mato Grosso,2017,126845898,3344544
Mato Grosso,2018,137442853,3441998
Mato Grosso,2019,142122028,3484466
Mato Grosso,2020,178649564,3526220
Mato Grosso,2021,233390203,3567234
Mato Grosso do Sul,2002,16440424,2140624
Mato Grosso do Sul,2003,21846566,2169688
Mato Grosso do Sul,2004,23372308,2227794
Mato Grosso do Sul,2005,23725258,2264468
Mato Grosso do Sul,2006,26667894,2297981
Mato Grosso do Sul,2008,36219263,2336060
Mato Grosso do Sul,2009,39517742,2360498
Mato Grosso do Sul,2011,55133162,2477542
Mato Grosso do Sul,2012,62013201,2500365
Mato Grosso do Sul,2013,69203201,2587269
Mato Grosso do Sul,2014,78950133,2619657
Mato Grosso do Sul,2015,83082555,2651235
Mato Grosso do Sul,2016,91892285,2682386
Mato Grosso do Sul,2017,96396434,2713147
Mato Grosso do Sul,2018,106969142,2748023
Mato Grosso do Sul,2019,106943246,2778986
Mato Grosso do Sul,2020,122627726,2809394
Mato Grosso do Sul,2021,142203766,2839188
Minas Gerais,2002,124071066,18343517
Minas Gerais,2003,144189094,18553312
Minas Gerais,2004,171870934,18993720
Minas Gerais,2005,188364436,19237450
Minas Gerais,2006,212659547,19479356
Minas Gerais,2008,278607619,19850060
Minas Gerais,2009,287443848,20033665
Minas Gerais,2011,400124687,19728701
Minas Gerais,2012,442282830,19855332
Minas Gerais,2013,488004903,20593356
Minas Gerais,2014,516633984,20734097
Minas Gerais,2015,519331213,20869101
Minas Gerais,2016,544810468,20997560
Minas Gerais,2017,576375545,21119536
Minas Gerais,2018,614875820,21040662
Minas Gerais,2019,651872684,21168791
Minas Gerais,2020,682786116,21292666
Minas Gerais,2021,857593214,21411923
Paraná,2002,88235715,9798006
Paraná,2003,110039414,9906866
Paraná,2004,123451530,10135388
Paraná,2005,127464507,10261856
Paraná,2006,137648311,10387378
Paraná,2008,185683859,10590171
Paraná,2009,196675612,10686247
Paraná,2011,257122269,10512349
Paraná,2012,285620202,10577755
Paraná,2013,333481152,10997465
Paraná,2014,348084191,11081692
Paraná,2015,376962822,11163018
Paraná,2016,401814164,11242720
Paraná,2017,421497870,11320892
Paraná,2018,440029403,11348937
Paraná,2019,466377036,11433957
Paraná,2020,487930594,11516840
Paraná,2021,549973062,11597484
Paraíba,2002,12747021,3494893
Paraíba,2003,14737920,3518595
Paraíba,2004,15757832,3568350
Paraíba,2005,17557226,3595886
Paraíba,2006,20838016,3623215
Paraíba,2008,26889573,3742604
Paraíba,2009,30230406,3769977
Paraíba,2011,37109137,3791315
Paraíba,2012,42488349,3815171
Paraíba,2013,46377299,3914421
Paraíba,2014,52936483,3943885
Paraíba,2015,56141890,3972202
Paraíba,2016,59104781,3999415
Paraíba,2017,62396776,4025558
Paraíba,2018,64373595,3996496
Paraíba,2019,67986074,4018127
Paraíba,2020,70292034,4039277
Paraíba,2021,77470331,4059905
Pará,2002,26482159,6453683
