UF,NU_NOTA_CH,NU_NOTA_CN,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,MEDIA_GERAL,Ano
AC,504.34,476.61,496.51,504.03,582.84,512.87,2022
AL,511.76,485.33,501.31,524.05,604.53,525.39,2022
AM,497.13,473.93,487.94,496.22,538.09,498.66,2022
AP,503.86,473.82,490.37,494.46,569.1,506.32,2022
BA,515.23,485.39,504.97,519.57,608.94,526.82,2022
CE,512.73,486.9,501.42,530.62,595.46,525.43,2022
DF,544.05,511.48,538.9,558.84,632.35,557.12,2022
ES,538.26,504.98,525.47,559.78,638.24,553.35,2022
GO,521.83,492.2,511.39,536.63,619.45,536.3,2022
MA,496.97,475.0,484.57,502.66,586.38,509.11,2022
MG,545.54,510.81,533.53,573.89,655.93,563.94,2022
MS,519.31,493.57,511.33,535.11,598.75,531.62,2022
MT,514.93,487.82,504.58,527.03,588.54,524.58,2022
PA,503.69,474.95,488.05,499.68,587.61,510.8,2022
PB,516.18,488.6,505.5,526.13,620.61,531.4,2022
PE,517.21,490.76,509.21,536.29,607.64,532.22,2022
PI,506.86,481.32,493.39,519.55,612.36,522.7,2022
PR,538.69,507.42,529.53,559.36,614.37,549.87,2022
RJ,542.07,504.72,533.53,556.62,635.78,554.55,2022
RN,523.35,495.6,514.31,534.37,619.97,537.52,2022
RO,507.9,480.78,497.5,514.92,581.85,516.59,2022
RR,518.57,492.65,508.85,523.58,571.39,523.01,2022
RS,538.92,502.77,533.39,558.65,627.51,552.25,2022
SC,542.74,509.89,534.61,567.55,634.9,557.94,2022
SE,515.4,486.85,502.66,520.31,625.42,530.13,2022
SP,547.39,510.95,542.44,573.43,640.16,562.88,2022
TO,505.86,482.04,494.22,517.29,598.77,519.63,2022
AC,503.56,473.13,503.02,491.09,579.53,510.07,2023
AL,503.63,480.43,499.76,508.33,596.59,517.75,2023
AM,493.97,470.65,494.25,484.37,538.86,496.42,2023
AP,500.68,473.39,496.56,481.33,570.1,504.41,2023
BA,510.99,483.52,505.09,506.01,606.29,522.38,2023
CE,509.31,482.8,507.05,523.33,610.61,526.62,2023
DF,542.35,513.86,536.71,554.83,630.68,555.69,2023
ES,535.8,509.16,527.32,556.14,637.84,553.25,2023
GO,520.17,496.88,515.37,532.9,631.17,539.3,2023
MA,491.27,466.71,487.88,482.91,580.77,501.91,2023
MG,542.71,514.65,533.13,567.59,653.74,562.36,2023
MS,519.21,495.61,514.33,528.56,593.67,530.28,2023
MT,513.55,488.23,508.69,516.44,588.9,523.16,2023
PA,497.7,472.15,491.26,484.25,584.3,505.93,2023
PB,511.24,485.21,506.85,513.65,619.15,527.22,2023
PE,513.02,487.76,510.53,526.62,611.41,529.87,2023
PI,497.73,476.47,495.07,502.65,609.26,516.23,2023
PR,535.9,507.34,531.41,553.3,607.26,547.04,2023
RJ,539.22,506.51,531.52,552.13,634.39,552.75,2023
RN,521.24,493.44,515.2,525.36,619.25,534.9,2023
RO,503.74,480.35,500.08,502.48,586.31,514.59,2023
RR,519.31,494.01,515.03,519.66,576.39,524.88,2023
RS,538.84,508.91,535.41,558.02,628.21,553.88,2023
SC,542.24,510.61,535.03,562.02,632.52,556.48,2023
SE,509.5,485.29,503.76,509.58,628.91,527.41,2023
SP,545.73,515.63,540.62,572.39,637.56,562.39,2023
TO,501.13,479.93,498.41,503.88,590.64,514.8,2023
