Municipio;UF;Abrangencia;Pop_Total;Pop_Esgoto_Atendida;Indice_Esgoto_Pct
Rio Branco;AC;Local;364756.0;75383.0;2067.0
Cajueiro;AL;Local;16359.0;2199.0;1344.0
Campo Alegre;AL;Local;32106.0;3999.0;1246.0
Coruripe;AL;Local;50414.0;13942.0;2766.0
Maceió;AL;Microrregional;1300609.0;239925.0;1845.0
Maceió;AL;Regional;2507502.0;79320.0;316.0
Penedo;AL;Microrregional;709923.0;54477.0;767.0
Roteiro;AL;Local;6474.0;5678.0;877.0
Santana do Mundaú;AL;Local;11323.0;3783.0;3341.0
São Miguel dos Campos;AL;Local;51990.0;0.0;0.0
Teotônio Vilela;AL;Local;38053.0;28660.0;7532.0
União dos Palmares;AL;Microrregional;383109.0;64795.0;1691.0
União dos Palmares;AL;Local;59280.0;9258.0;1562.0
Anori;AM;Local;17194.0;3000.0;1745.0
Caapiranga;AM;Local;13469.0;320.0;238.0
Guajará;AM;Local;13815.0;1018.0;737.0
Ipixuna;AM;Local;24311.0;130.0;53.0
Manaus;AM;Local;2063689.0;538324.0;2609.0
Maués;AM;Local;61204.0;12800.0;2091.0
Presidente Figueiredo;AM;Local;30668.0;5000.0;163.0
Macapá;AP;Microrregional;733759.0;37044.0;505.0
Macapá;AP;Regional;733759.0;2464.0;34.0
Abaíra;BA;Local;7301.0;7290.0;9985.0
Alagoinhas;BA;Local;151055.0;58737.0;3888.0
Barra;BA;Local;51092.0;23000.0;4502.0
Barra da Estiva;BA;Local;26026.0;12783.0;4912.0
Bom Jesus da Lapa;BA;Local;65550.0;22083.0;3369.0
Carinhanha;BA;Local;28869.0;12802.0;4435.0
Casa Nova;BA;Local;72086.0;32500.0;4509.0
Curaçá;BA;Local;34180.0;10359.0;3031.0
Igaporã;BA;Local;15527.0;8205.0;5284.0
Itabuna;BA;Local;186708.0;176211.0;9438.0
Itajuípe;BA;Local;18781.0;18781.0;1000.0
Itapetinga;BA;Local;65897.0;63969.0;9707.0
Itororó;BA;Local;16617.0;16105.0;9692.0
Jaborandi;BA;Local;9275.0;2628.0;2833.0
Jacobina;BA;Microrregional;298950.0;5033.0;168.0
Juazeiro;BA;Local;237821.0;200829.0;8445.0
Macarani;BA;Local;21599.0;19180.0;888.0
Macaúbas;BA;Local;41859.0;13000.0;3106.0
Mucugê;BA;Local;12137.0;5148.0;4242.0
Piatã;BA;Local;20086.0;1902.0;947.0
Remanso;BA;Local;40586.0;14650.0;361.0
Rodelas;BA;Local;10308.0;9700.0;941.0
Salvador;BA;Regional;12361989.0;4442401.0;3594.0
Santa Maria da Vitória;BA;Local;38604.0;14420.0;3735.0
Santa Rita de Cássia;BA;Local;27390.0;3800.0;1387.0
Sento Sé;BA;Local;38154.0;4895.0;1283.0
Sobradinho;BA;Local;25475.0;21400.0;840.0
Taperoá;BA;Local;18044.0;7200.0;399.0
Urandi;BA;Local;15355.0;5500.0;3582.0
Valença;BA;Local;85655.0;62528.0;730.0
Xique-Xique;BA;Local;44757.0;3500.0;782.0
Boa Viagem;CE;Local;50411.0;21542.0;4273.0
Brejo Santo;CE;Local;51090.0;23846.0;4667.0
Camocim;CE;Local;62326.0;24157.0;3876.0
Canindé;CE;Local;74174.0;15873.0;214.0
Crato;CE;Local;131050.0;0.0;0.0
Fortaleza;CE;Regional;7492385.0;2104968.0;2809.0
