UF,Natural_Sciences,Humanities,Language,Math,Essay,Mean_General,Sample_Size,English_Score,Region,Year,Grade
SC,512.6551763613861,529.8991878202143,540.8510334187238,547.6406219059405,651.1213320912901,554.9971139769955,34428,557.8116951876714,South,2024,PROXY_3EM
MG,500.6911540472034,520.7825266869996,530.6326277163553,545.6542701028691,673.6599313762867,553.3603793419371,105147,545.1772240762454,Southeast,2024,PROXY_3EM
DF,508.0803462728271,524.6050662061025,538.9703511801957,540.8152479792435,656.9295720591058,552.6772141113398,20891,559.7666324259544,Center-West,2024,PROXY_3EM
SP,504.825284098726,525.6659214618974,539.760030220557,548.1062584266572,645.2710130072105,551.8121325045375,226996,549.8624875163707,Southeast,2024,PROXY_3EM
ES,500.99021882864815,516.5249918633035,528.2809723352319,540.8978629015057,653.846216436127,546.5542787342321,24628,539.8273162939297,Southeast,2024,PROXY_3EM
RS,500.93716785998413,520.7820561201614,536.3454098789418,539.5785381861575,640.6299506800179,546.0077484175938,53663,555.5602943570707,South,2024,PROXY_3EM
RJ,497.88131650390494,517.1675649995681,530.1675242784338,537.9563258321432,639.5745258455805,543.0467804433722,81241,542.877260182467,Southeast,2024,PROXY_3EM
PR,500.51282571912014,513.7326188121691,531.0667485893781,530.5515720658361,617.6909429352568,537.2746589194521,68928,544.1857235257382,South,2024,PROXY_3EM
RN,487.9777162713645,501.8327063370007,516.752454749793,518.7876762697482,639.6845301470878,532.0939123593738,25422,543.4577041339255,Northeast,2024,PROXY_3EM
GO,485.01459171223286,496.67341820822827,512.2915217669928,518.7857133173663,635.4244456786431,527.8739992622858,46992,527.5372591405463,Center-West,2024,PROXY_3EM
MS,490.35970827026284,502.6061628664495,516.965368078176,520.442920049539,610.7400651465798,526.4499487777994,15423,532.7290047897818,Center-West,2024,PROXY_3EM
PB,474.76313351213906,489.5540331341662,505.4715507876154,506.2234142603365,625.0441336230309,519.0388305855536,29539,528.5101075585678,Northeast,2024,PROXY_3EM
MT,483.2520562178716,491.416640994044,508.97903573629077,506.78454008531116,604.893201889505,517.0537069421009,19557,524.7881853785901,Center-West,2024,PROXY_3EM
PE,473.897182158327,487.70754035715896,506.93288299808927,512.2840943317135,605.5872662444146,515.9869660421135,66661,520.7323696039577,Northeast,2024,PROXY_3EM
SE,472.4160458452722,483.04096083026445,499.7317263698248,500.8295014326647,626.6822899229996,515.4709019236834,17969,526.686262253161,Northeast,2024,PROXY_3EM
PI,468.575481099036,478.219636672086,498.6279211140171,503.60842690544104,631.9127730260833,515.4705380554282,28349,522.0670400153168,Northeast,2024,PROXY_3EM
RO,476.1879762677297,479.9569306495561,498.4181330755032,496.1465838509317,605.8574316603674,509.4918361507693,11417,528.213277355025,North,2024,PROXY_3EM
CE,469.30181726574216,479.9555281870667,497.9336584115379,506.98250981918954,585.2348364949511,506.47735911054934,90183,521.5435199138859,Northeast,2024,PROXY_3EM
AC,466.65418140881314,476.3799878437928,496.2845616167756,484.17629462849794,589.0776477738946,501.0088509928756,6597,534.7009068923821,North,2024,PROXY_3EM
BA,467.70238474788437,477.820920502092,496.42564065840753,490.8495330002461,575.1466481161318,499.9744133807095,98221,507.98133594937605,Northeast,2024,PROXY_3EM
RR,477.27819905213266,484.36655509783725,501.6949279093718,488.89868971285193,557.7754891864058,499.4734612432847,3909,534.1807792207793,North,2024,PROXY_3EM
AP,466.0789738124239,473.7951258316459,493.38825571304596,474.44728989037753,589.0309516922187,497.6269916822924,6933,509.220875303925,North,2024,PROXY_3EM
PA,464.062506599092,470.1917083354378,487.6300351869623,480.69721430331185,587.1939660252201,496.5859876253133,59584,500.49524192198226,North,2024,PROXY_3EM
TO,465.9832006702974,469.1223392839723,492.13635742854353,490.38268747381653,575.5399473222125,496.4419560781265,10291,505.1326213983478,North,2024,PROXY_3EM
MA,459.4656493268614,465.44550620968096,485.1519616447975,480.50167597765363,581.1712818712424,492.9718401638747,45726,502.9013052322297,Northeast,2024,PROXY_3EM
AL,462.20030579825254,465.20024251289556,486.6342289629687,489.7346981731533,554.9495727153745,490.366953983341,26092,499.23247534802783,Northeast,2024,PROXY_3EM
AM,460.88783363416417,464.5584211270593,486.45111008979706,472.1916125811283,520.2099978788093,478.0948426330826,28585,501.68765911405296,North,2024,PROXY_3EM
