UF_NOME;NOTA_MATH;NOTA_READ;NOTA_SCIE;AMOSTRA_ALUNOS;MEDIA_GERAL
BRA - stratum 01: Norte / Public Federal;438.03;493.13;476.71;72;469.29
BRA - stratum 02: Norte / Public State;359.72;386.36;383.63;778;376.57
BRA - stratum 03: Norte / Public Municipal;304.68;307.65;304.74;108;305.69
BRA - stratum 04: Norte / Private;411.88;451.09;454.35;50;439.11
BRA - stratum 05: Nordeste / Public Federal;413.81;447.03;448.75;119;436.53
BRA - stratum 06: Nordeste / Public State;362.64;396.74;387.76;2042;382.38
BRA - stratum 07: Nordeste / Public Municipal;309.94;314.9;315.1;492;313.31
BRA - stratum 08: Nordeste / Private;441.59;483.74;477.52;299;467.61
BRA - stratum 09: Sul / Public Federal;451.69;498.95;493.44;56;481.36
BRA - stratum 10: Sul / Public State;385.61;419.76;413.38;1206;406.25
BRA - stratum 11: Sul / Public Municipal;325.94;339.54;330.82;97;332.1
BRA - stratum 12: Sul / Private;475.83;511.85;511.44;211;499.71
BRA - stratum 13: Sudeste / Public Federal;454.45;490.72;483.84;110;476.34
BRA - stratum 14: Sudeste / Public State;374.66;405.15;397.67;3266;392.49
BRA - stratum 15: Sudeste / Public Municipal;349.0;373.22;362.62;245;361.61
BRA - stratum 16: Sudeste / Private;466.36;512.54;502.74;761;493.88
BRA - stratum 17: Centro-Oeste / Public Federal;452.98;510.89;484.27;72;482.71
BRA - stratum 18: Centro-Oeste / Public State;367.72;405.59;391.88;657;388.4
BRA - stratum 19: Centro-Oeste / Public Municipal;315.95;319.2;321.45;41;318.87
BRA - stratum 20: Centro-Oeste / Private;454.99;501.71;493.39;116;483.36
