Region,UF,Year,Grade,SAEB_General,Math_Mean,Language_Mean,N_Students
Sul,SC,2017,9EF,264.53333958724204,265.43365853658537,263.6330206378987,63003.0
Sul,PR,2017,9EF,261.00930695847364,261.98148709315376,260.03712682379347,103430.0
Sul,RS,2017,9EF,260.812891010866,260.91668093513334,260.70910108659865,78641.0
Centro-Oeste,GO,2017,9EF,260.63005286343616,258.97094273127755,262.2891629955947,68064.0
Sudeste,ES,2017,9EF,259.32908843537416,260.97262585034014,257.6855510204082,30435.0
Centro-Oeste,MS,2017,9EF,257.46031358885017,257.0630662020906,257.8575609756097,26143.0
Nordeste,CE,2017,9EF,256.7500201072386,255.86478105451295,257.6352591599642,99939.0
Sudeste,SP,2017,9EF,255.98052636757183,255.26876229830776,256.6922904368359,324374.0
Norte,RO,2017,9EF,255.46608695652174,255.8736141304348,255.0585597826087,18487.0
Centro-Oeste,DF,2017,9EF,254.67048128342248,255.2826203208556,254.05834224598934,22993.0
Sudeste,MG,2017,9EF,253.82372259177137,254.1718132544962,253.47563192904656,205302.0
Sudeste,RJ,2017,9EF,251.0896037424326,250.01230599889928,252.1669014859659,108488.0
Norte,TO,2017,9EF,245.84135135135136,246.26675675675676,245.41594594594594,18792.0
Norte,AC,2017,9EF,244.52289017341042,243.27468208092483,245.77109826589597,10030.0
Centro-Oeste,MT,2017,9EF,243.79052594670407,243.50492286115008,244.07612903225805,33747.0
Nordeste,PE,2017,9EF,241.97871326164875,241.26921146953404,242.68821505376343,84157.0
Nordeste,AL,2017,9EF,238.78544280442804,238.27846863468636,239.29241697416975,31024.0
Nordeste,PI,2017,9EF,238.0176285714286,238.11170476190478,237.9235523809524,32095.0
Nordeste,SE,2017,9EF,237.94899610136451,237.80358674463938,238.09440545808965,17010.0
Nordeste,PB,2017,9EF,235.2544407530454,233.87558139534883,236.63330011074197,34296.0
Nordeste,RN,2017,9EF,235.06803430079157,233.18435356200527,236.95171503957783,24842.0
Norte,AM,2017,9EF,234.27448842874543,231.59204628501828,236.9569305724726,49807.0
Norte,RR,2017,9EF,232.8473786407767,232.35883495145632,233.33592233009708,5526.0
Nordeste,BA,2017,9EF,231.68058582621083,230.82310185185185,232.53806980056982,127584.0
Norte,PA,2017,9EF,226.3420051546392,224.5807731958763,228.1032371134021,79770.0
Nordeste,MA,2017,9EF,220.82032608695653,219.01796484736357,222.62268732654948,76752.0
Norte,AP,2017,9EF,220.1708280254777,217.46898089171972,222.87267515923568,7700.0
